klantnummer,datum,pricing_code,member_deal,discount,omzet,categorie
107253,6-6-2026,MBR-FAL-10,Falke 10%,-5.4,183.56,Outdoor
100044,8-6-2026,MBR-FAL-10,Falke 10%,-2.7,204.28,Outdoor
108724,8-6-2026,MBR-FAL-10,Falke 10%,-7.8,180.85,Outdoor
90510,9-6-2026,MBR-FAL-10,Falke 10%,-4.8,40.16,Outdoor
35302,9-6-2026,MBR-FAL-10,Falke 10%,-2.7,84.28,Outdoor
93426,10-6-2026,MBR-FAL-10,Falke 10%,-7.2,363.94,Outdoor
108335,10-6-2026,MBR-FAL-10,Falke 10%,-5.7,131.23,Outdoor
88925,5-6-2026,MBR-CRA-10,Craft 10%,-4.5,75.48,Sport
81912,30-5-2026,MBR-BOC-10,Bo Camp Impregneer 10%,-1.2,50.96,Kamperen
83292,23-5-2026,MBR-BAL-10,Ballen 10%,-0.9,181.05,Sport
108015,25-5-2026,MBR-BAL-10,Ballen 10%,-0.9,130.04,Sport
31108,26-5-2026,MBR-BAL-10,Ballen 10%,-0.9,370,Sport
29309,29-5-2026,MBR-BAL-10,Ballen 10%,-1.15,180.29,Sport
35129,29-5-2026,MBR-BAL-10,Ballen 10%,-1.1,164.87,Sport
109037,29-5-2026,MBR-BAL-10,Ballen 10%,-0.9,3.09,Sport
38760,30-5-2026,MBR-BAL-10,Ballen 10%,-1.1,44.88,Sport
32835,1-6-2026,MBR-BAL-10,Ballen 10%,-0.5,26.99,Sport
104370,4-6-2026,MBR-BAL-10,Ballen 10%,-1.6,51.39,Sport
57686,10-6-2026,MBR-BAL-10,Ballen 10%,-2.55,322.95,Sport
